Asset ID,Asset,Industry,Primary Buyers,Primary Use Cases,Buyer Count,Commercial Value (1-10),Reusable (1-10),Evergreen (1-10),Competition (1-10),AI Saturation (1-10),Recommended Aspect Ratios,Design Direction,Priority
A001,Healthcare Product Launch Environment,Healthcare,"Pharmaceutical Brand Manager; Supplement Brand; Healthcare Marketing Manager","Website Hero; Product Launch; Sales Deck; Brochure",6,10,10,10,4,4,"16:9; 4:5","Premium modern healthcare environment with clear product placement and copy space",High
A002,Pharmacy Product Display,Healthcare,"Pharmaceutical Brand Manager; Pharmacy Chain; Supplement Brand","Packaging Presentation; Retail Pitch; Website Hero; Sales Deck",6,10,10,10,3,3,"16:9; 4:5","Modern pharmacy shelf or counter without brands, labels, or readable text",High
A003,Wellness Clinic Reception,Healthcare,"Wellness Brand; Clinic; Insurance; Healthcare Marketing Manager","Website Hero; Brochure; Social Media Ads",5,9,9,10,4,4,"16:9; 4:5","Warm premium clinical-wellness interior, trustworthy but less sterile",High
A004,Pet Retail Display,Pet,"Pet Brand Owner; Pet Food Brand; Vet Clinic; E-commerce Seller","Packaging Presentation; Retail Pitch; Website Hero; Social Media Ads",5,10,10,9,3,3,"16:9; 4:5","Premium pet retail shelf/display with empty packaging area",High
A005,Pet Feeding Station,Pet,"Pet Brand Owner; Ceramic Pet Product; Shopify Store Owner","Website Hero; Product Launch; Social Media Ads; Catalog",4,9,9,9,4,4,"4:5; 16:9","Modern home pet feeding corner, no animals, premium lifestyle scene",High
A006,Frozen Food Freezer Display,FMCG,"Frozen Food Brand; FMCG Brand; Retail Pitch Team","Packaging Presentation; Retail Pitch; Sales Deck; POS",4,9,9,9,3,3,"16:9; 4:5","Clean supermarket freezer display with empty placement zones",High
A007,Coffee Packaging Retail Shelf,FMCG,"Coffee Roaster; Packaging Designer; Brand Manager","Packaging Presentation; Website Hero; Retail Pitch",4,9,9,9,5,5,"16:9; 4:5","Premium roastery shelf, warm materials, clear pouch placement area",Medium
A008,Retail Packaging Display Shelf,FMCG,"Packaging Designer; Brand Manager; Agency; Amazon Seller","Packaging Presentation; Sales Deck; Retail Pitch",6,10,10,10,5,5,"16:9; 4:5","Generic but premium retail shelf environment for many FMCG categories",High
A009,Industrial Workbench,Manufacturing,"Manufacturing Marketing Manager; B2B Agency; Industrial Supplier","Website Hero; Sales Deck; Trade Show; Brochure",5,8,9,10,3,3,"16:9","Clean industrial workbench with realistic tools and empty product zone",High
A010,Clean Warehouse Environment,Logistics,"Logistics Sales Team; B2B Agency; E-commerce Operations","Website Hero; Sales Deck; LinkedIn Campaign",4,8,9,10,4,4,"16:9","Modern warehouse with open space, professional lighting, no brands",Medium
A011,Dental Clinic Marketing Scene,Healthcare,"Dental Chain; Dental Clinic; Medical Device Brand","Website Hero; Brochure; Sales Deck",4,8,8,10,4,4,"16:9; 4:5","Clean dental clinic room with copy space, no patients, no logos",Medium
A012,Restaurant Kitchen Prep Station,Food Service,"Restaurant; Food Delivery Brand; Chef Brand","Website Hero; Menu; Social Ads; Delivery Banner",4,8,8,8,5,5,"16:9; 4:5","Commercial kitchen counter with space for food/product overlays",Medium
