material_set_id,material_set_name,materials,commercial_effect
M001,Clinical glass and matte white,"matte white laminate, clear glass, brushed aluminum, pale grey tile, soft acrylic panels","clean healthcare trust and broad copy usability"
M002,Premium paperboard packaging,"unbranded paperboard boxes, matte coated cartons, soft kraft inserts, satin shelf tags without text","packaging realism without trademark risk"
M003,Cold retail surfaces,"frosted glass, stainless trim, white plastic shelf dividers, cool ceramic floor, translucent freezer panels","realistic chilled retail context"
M004,Warm pet retail textures,"light oak shelving, matte neutral bags, woven storage baskets, soft rubber floor, cream wall panels","friendly premium pet brand warmth"
M005,Coffee and natural materials,"dark walnut, matte black metal, kraft paper pouches, ceramic counter, warm linen backdrop","premium food and beverage storytelling"
M006,B2B industrial clean set,"powder coated steel, clean concrete, black rubber mats, brushed metal tools, durable laminate surfaces","credible manufacturing and operations signal"
M007,Finance trust palette,"low-iron glass, pale stone, brushed brass accents, matte navy panels, polished concrete","secure premium financial service tone"
M008,Logistics utility set,"sealed concrete, galvanized metal rails, stretch-wrapped blank cartons, safety yellow accents, matte dock doors","practical supply chain credibility"
M009,Construction planning set,"birch plywood, clean whiteboard surface without writing, grey carpet tile, metal filing cabinets, rolled blank plans","project management and field office context"
M010,Technology infrastructure set,"perforated black metal, cool glass, anti-static flooring, cable trays, matte server blanks","modern technology credibility without brand marks"
