scene_id,scene_name,architecture_style,spatial_layout,mood,best_industries,avoid_with
SD001,Premium Contemporary Pharmacy,contemporary healthcare retail architecture with clean millwork and glass shelving,open shelf bay with counter-depth foreground and clear product island,trustworthy polished modern,Healthcare,"pet, data center, warehouse, restaurant"
SD002,Luxury Boutique Pharmacy,boutique pharmacy interior with refined stone counter and backlit shelving,intimate retail bay with premium counter hero zone,quiet upscale clinical,Healthcare,"pet, frozen food, industrial, logistics"
SD003,Scandinavian Pharmacy,Scandinavian healthcare retail with pale wood and soft white shelving,airy grid layout with simple product shelf rhythm,calm warm minimal,Healthcare,"data center, industrial, finance, pet"
SD004,Japanese Minimal Pharmacy,Japanese minimal retail architecture with precise joinery and low visual noise,asymmetric shelf and counter layout with disciplined spacing,serene exact minimal,Healthcare,"warehouse, construction, pet, coffee"
SD005,Wellness Retail Pharmacy,wellness-oriented pharmacy with soft curves and modern shelving,open browsing layout with central wellness product display,approachable clean wellness,Healthcare,"industrial, data center, logistics"
SD006,Clinical Minimal Pharmacy,clinical minimal pharmacy with white modular shelving and hygienic surfaces,straight-on shelf wall with crisp counter foreground,precise sterile calm,Healthcare,"pet, coffee, rustic apothecary"
SD007,Natural Apothecary,natural apothecary interior with refined wood shelving and botanical restraint,layered shelf alcove with premium product-ready counter,warm trustworthy natural,Healthcare,"data center, frozen food, industrial"
SD008,Architectural Healthcare Atrium,healthcare retail atrium with high ceiling and premium reception-like architecture,wide open atrium with island display and deep spatial layers,credible spacious premium,Healthcare,"pet aisle, supermarket freezer, warehouse"
SD009,Island Pharmacy Display,modern pharmacy island display surrounded by clean shelving,central island merchandising layout with open circulation,focused retail presentation,Healthcare,"restaurant, logistics, industrial"
SD010,Pharmacy Counter Hero,pharmacy service counter architecture with clean back wall shelving,foreground counter hero with organized background depth,professional direct trustworthy,Healthcare,"pet, data center, freezer aisle"
