asset_id,asset_name,industry,buyer_persona,use_case,commercial_objective,required_product_zone,required_copy_space,avoid
AD001,Pharmacy Product Display,Healthcare,Pharmaceutical Brand Manager,Packaging Presentation,Present OTC or supplement packaging in a credible pharmacy retail context,center or lower-third packaging-ready zone,35-45% clean headline and campaign copy space,"logos, readable labels, people, hands, brand marks, crowded shelves"
AD002,Healthcare Product Launch Environment,Healthcare,Pharmaceutical Brand Manager,Product Launch,Create a premium launch environment for new healthcare products,foreground counter or display plinth,40% open space for launch message,"logos, readable labels, people, hands, medical claims, clutter"
AD003,Pharmacy Website Hero,Healthcare,Healthcare Marketing Manager,Website Hero,Support a trustworthy healthcare landing page hero with strong copy space,left or right product-ready side zone,45-55% clean horizontal copy space,"logos, readable labels, people, hands, overly clinical coldness"
AD004,Supplement Retail Shelf,Healthcare,Supplement Brand Manager,Retail Pitch,Show supplement packaging in a realistic unbranded retail shelf system,central shelf bay with blank package facings,30-40% calm copy space,"logos, readable labels, people, hands, exaggerated wellness props"
AD005,Clinic Product Counter,Healthcare,Medical Device Brand Manager,Sales Deck,Create a clean product-placement counter scene for B2B sales slides,front counter zone for device or package mockup,40% slide-friendly negative space,"logos, readable labels, people, hands, surgical tools, clutter"
AD006,Wellness Pharmacy Display,Healthcare,Wellness Brand Manager,Packaging Presentation,Blend healthcare trust with softer wellness retail appeal,front shelf or counter display area,35-45% soft copy space,"logos, readable labels, people, hands, spa cliches, pet objects"
AD007,Natural Apothecary Product Shelf,Healthcare,Natural Health Brand Manager,Website Hero,Position natural health packaging in an upscale apothecary setting,center shelf or side counter product zone,35-50% clean copy space,"logos, readable labels, people, hands, rustic clutter"
AD008,Clinical Minimal Product Display,Healthcare,Healthcare Marketing Manager,Product Launch,Make a precise minimal product environment for regulated healthcare marketing,central product pedestal or shelf zone,45% clean copy space,"logos, readable labels, people, hands, sci-fi styling"
AD009,Pharmacy Counter Hero,Healthcare,Pharmacy Chain Marketing Manager,Website Hero,Create a reusable pharmacy counter hero image for campaign landing pages,foreground counter product zone,45-55% hero copy space,"logos, readable labels, people, hands, cash register branding"
AD010,Healthcare Retail Atrium Display,Healthcare,Healthcare Marketing Manager,Sales Deck,Show a premium healthcare retail display in an architectural environment,midground island display zone,35-45% presentation copy space,"logos, readable labels, people, hands, unrelated retail categories"
